3.09679	4.3455963
3.5884972	4.3446074
4.2143607	4.343529
4.8835154	4.3425403
5.7315445	4.1902037
6.635414	3.970731
7.700008	4.305872
9.066306	4.9098263
10.534491	5.5474834
12.081001	6.2524567
14.044422	7.007759
16.32928	7.7966747
18.98722	8.602397
22.670849	9.340713
25.991581	9.97846
30.577257	10.380737
35.43992	10.430168
41.005318	10.076243
47.977917	9.201228
56.019638	7.8388257
63.57055	6.0732474
74.07705	4.2402635
86.36329	2.524925
100.882256	1.2633613
116.52403	0.50608146
134.84201	0.18576992

