 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 4.110780715942383 -7.068706035614014 -8.137261390686035 
2 1 3.0 0.091030806303024 6.212529659271240 -1.304398655891418 
3 1 3.0 -10.976190567016602 5.551483154296875 -3.255598306655884 
4 1 3.0 -1.368548989295959 3.168927192687988 -1.366495847702026 
5 1 3.0 5.915187358856201 -11.639442443847656 -11.476502418518066 
6 1 3.0 0.058148112148046 -2.385296344757080 10.253076553344727 
7 1 3.0 8.054054260253906 0.147186160087585 -3.341578245162964 
8 1 3.0 -4.027013301849365 -1.217171549797058 -4.639924526214600 
9 1 3.0 -9.706935882568359 10.316966056823730 -1.582998037338257 
10 1 3.0 5.190920352935791 -0.229142203927040 -9.672691345214844 
11 1 3.0 9.583135604858398 2.145125627517700 7.031541824340820 
12 1 3.0 9.100939750671387 -2.855389833450317 4.511389255523682 
13 1 3.0 0.733872115612030 3.311457633972168 9.525184631347656 
14 1 3.0 -6.791906833648682 4.436582088470459 -1.218556284904480 
15 1 3.0 -5.371444702148438 -3.861847400665283 5.451182842254639 
16 1 3.0 2.881556749343872 -9.088765144348145 4.455629348754883 
17 1 3.0 -10.390576362609863 3.618559122085571 5.800133228302002 
18 1 3.0 -9.588232040405273 2.218034267425537 -2.298226833343506 
19 1 3.0 -0.875182807445526 -1.669411420822144 4.813507080078125 
20 1 3.0 -10.241291046142578 -2.586716890335083 8.303127288818359 
21 1 3.0 10.857962608337402 -5.676531314849854 5.224358558654785 
22 1 3.0 0.079899974167347 -7.266504287719727 -3.390629291534424 
23 1 3.0 -5.804726600646973 -7.145268440246582 7.311208724975586 
24 1 3.0 7.855072975158691 4.738100051879883 9.033664703369141 
25 1 3.0 7.247079372406006 -2.565782785415649 9.297465324401855 
26 1 3.0 -5.716598033905029 6.604544639587402 6.986666679382324 
27 1 3.0 8.113780975341797 -10.814770698547363 2.404607057571411 
28 1 3.0 0.264571249485016 10.291488647460938 6.179615497589111 
29 1 3.0 -3.040679454803467 -11.024847984313965 -4.645192146301270 
30 1 3.0 -6.040952682495117 3.041804313659668 -7.329734802246094 
31 1 3.0 -1.366933465003967 5.179107666015625 -7.445746421813965 
32 1 3.0 11.623340606689453 6.832351207733154 6.301457405090332 
33 1 3.0 4.596202373504639 6.023883819580078 1.473977327346802 
34 1 3.0 2.094920158386230 3.387259483337402 0.121605932712555 
35 1 3.0 0.394325286149979 -1.584925174713135 -5.479944229125977 
36 1 3.0 -10.485391616821289 -11.344341278076172 10.238886833190918 
37 1 3.0 11.493717193603516 -0.614159107208252 5.562489986419678 
38 1 3.0 -4.639633178710938 1.422802805900574 -1.485569119453430 
39 1 3.0 4.429109096527100 -4.079191207885742 -6.170344352722168 
40 1 3.0 -7.236342906951904 -4.589623928070068 2.433518886566162 
41 1 3.0 -3.226227045059204 -6.864140510559082 -5.223615169525146 
42 1 3.0 3.143106222152710 -10.271351814270020 -9.895328521728516 
43 1 3.0 -8.448461532592773 5.362333297729492 -9.043807029724121 
44 1 3.0 -2.321118354797363 -8.985645294189453 -1.782158136367798 
45 1 3.0 -8.394999504089355 10.716270446777344 7.633924484252930 
46 1 3.0 0.827074944972992 9.346976280212402 9.755857467651367 
47 1 3.0 7.304660797119141 -9.013945579528809 -4.439632415771484 
48 1 3.0 4.916262626647949 -8.937392234802246 8.776148796081543 
49 1 3.0 3.552408218383789 11.534171104431152 -5.779821872711182 
50 1 3.0 -10.730504989624023 -5.665195941925049 2.171277761459351 
51 1 3.0 -6.081552505493164 10.827001571655273 5.151489734649658 
52 1 3.0 -11.014033317565918 -0.593772947788239 -0.891639173030853 
53 1 3.0 -1.943981170654297 0.984730303287506 1.060317397117615 
54 1 3.0 -1.371069908142090 -0.590346097946167 -2.218194723129272 
55 1 3.0 3.646100759506226 -4.069251537322998 9.865206718444824 
56 1 3.0 3.025553941726685 8.276535987854004 -4.114253520965576 
57 1 3.0 6.806864738464355 -5.750221252441406 -10.542746543884277 
58 1 3.0 3.769085645675659 5.453981399536133 -1.793795228004456 
59 1 3.0 3.959901571273804 9.322937011718750 -8.861435890197754 
60 1 3.0 0.425106972455978 5.289952754974365 3.052819490432739 
61 1 3.0 2.454550743103027 0.937023878097534 -7.256382942199707 
62 1 3.0 8.566698074340820 7.599730491638184 -6.023281097412109 
63 1 3.0 -1.738377213478088 -5.542243003845215 -0.443414121866226 
64 1 3.0 -5.023533821105957 -6.504229545593262 0.581538915634155 
65 1 3.0 8.839010238647461 6.106858730316162 -2.749842643737793 
66 1 3.0 0.248437508940697 -3.333344936370850 -8.859081268310547 
67 1 3.0 5.436247825622559 -3.788268804550171 1.836391448974609 
68 1 3.0 9.695667266845703 7.381297111511230 10.855632781982422 
