6.283185307179586182e+11 8.977860472054115704e-23 1.419005491570340036e-23
7.224136260310000000e+11 8.855414096268115606e-23 1.450416154057973947e-23
8.306001200997860107e+11 8.730587459301844046e-23 1.483610809831411130e-23
9.549882984629282227e+11 8.602959453443627871e-23 1.518816956916581582e-23
1.098004476680732544e+12 8.472038856724744746e-23 1.556142647118283178e-23
1.262438328041701904e+12 8.337301404734724499e-23 1.595567104062978929e-23
1.451497298924168213e+12 8.198221122345557091e-23 1.636938608094523692e-23
1.668869173238980713e+12 8.054299431924139898e-23 1.679974550882988507e-23
1.918794006335153564e+12 7.905096744398402210e-23 1.724264820301042593e-23
2.206146831511089844e+12 7.750267103609953512e-23 1.769283785370928417e-23
2.536532752404425293e+12 7.589590965246529872e-23 1.814415159751363051e-23
2.916396276132460938e+12 7.422998634686767880e-23 1.858989268168691938e-23
3.353147019835203125e+12 7.250578489995044252e-23 1.902327404540894203e-23
3.855304242652594238e+12 7.072568096995910755e-23 1.943785597119000809e-23
4.432663022376389648e+12 6.889330509024599138e-23 1.982790374847605176e-23
5.096485318218144531e+12 6.701321374477938684e-23 2.018861413652622751e-23
5.859719646563142578e+12 6.509054099851394940e-23 2.051619821444680428e-23
6.737253654705547852e+12 6.313069043997301626e-23 2.080785052998082512e-23
7.746204519266632812e+12 6.113908796530974594e-23 2.106165402018718392e-23
8.906252833808400391e+12 5.912098041099420104e-23 2.127645123002081364e-23
1.024002649845211523e+13 5.708126645499455055e-23 2.145167672237327103e-23
1.177354209965350000e+13 5.502437964122862705e-23 2.158713679466202022e-23
1.353671238968635742e+13 5.295426441084943291e-23 2.168275597679362858e-23
1.556392976472908594e+13 5.087446005896720174e-23 2.173834933448594267e-23
1.789473712287630078e+13 4.878825330385769966e-23 2.175347605804441005e-23
2.057459918783057812e+13 4.669883264110446682e-23 2.172737782515984108e-23
2.365578934371277734e+13 4.460940827528950497e-23 2.165895254669461044e-23
2.719840927958897656e+13 4.252332423686429028e-23 2.154671175347752338e-23
3.127156133289811328e+13 4.044422770575563437e-23 2.138872337260003641e-23
3.595469639950893750e+13 3.837633895761149541e-23 2.118260916543088649e-23
4.133916370273718750e+13 3.632479371574831559e-23 2.092569626864567067e-23
4.752999265111424219e+13 3.429595070183311191e-23 2.061538915818426567e-23
5.464794154182156250e+13 3.229751799629003227e-23 2.024974299144401977e-23
6.283185307179585938e+13 3.033837962897193821e-23 1.982812140233145182e-23
7.224136260310000000e+13 2.842809252388898739e-23 1.935175969406192551e-23
8.306001200997859375e+13 2.657613651751877636e-23 1.882406063801141996e-23
9.549882984629282812e+13 2.479108702959123484e-23 1.825052473132889230e-23
1.098004476680732500e+14 2.307990443576894394e-23 1.763832728533789780e-23
1.262438328041701875e+14 2.144749058108446906e-23 1.699565447614431505e-23
1.451497298924168438e+14 1.989657541476108818e-23 1.633096336278257127e-23
1.668869173238980625e+14 1.842790275431427015e-23 1.565232564458576520e-23
1.918794006335153750e+14 1.704061563886617215e-23 1.496696369137165473e-23
2.206146831511090000e+14 1.573271515721012554e-23 1.428101467933684605e-23
2.536532752404425625e+14 1.450148273971217118e-23 1.359949027669470043e-23
2.916396276132472500e+14 1.334380373849798284e-23 1.292635617577796231e-23
3.353147019835202500e+14 1.225638944064829542e-23 1.226465122283204487e-23
3.855304242652610000e+14 1.123593799018459579e-23 1.161659936289899557e-23
4.432663022376390000e+14 1.027927909380722363e-23 1.098371740663363722e-23
5.096485318218144375e+14 9.383513553788126493e-24 1.036695280805588648e-23
5.859719646563142500e+14 8.546115728881674733e-24 9.766875637167490066e-24
6.737253654705547500e+14 7.764951030212605638e-24 9.183907277946795053e-24
7.746204519266632500e+14 7.038185393133766910e-24 8.618528995007345312e-24
8.906252833808401250e+14 6.364111595172932341e-24 8.071406863582999964e-24
1.024002649845211625e+15 5.740955306297112650e-24 7.543400446482670170e-24
1.177354209965350000e+15 5.166728831822882907e-24 7.035470234160333635e-24
1.353671238968635500e+15 4.639173179212456547e-24 6.548534876373745453e-24
1.556392976472908750e+15 4.155788571535221600e-24 6.083336780889785874e-24
1.789473712287630250e+15 3.713922512673805165e-24 5.640355938360180906e-24
2.057459918783057750e+15 3.310875271616611231e-24 5.219782666910777772e-24
2.365578934371277500e+15 2.943992476144375323e-24 4.821537311041663226e-24
2.719840927958897500e+15 2.610731631859834819e-24 4.445316648422902456e-24
3.127156133289811000e+15 2.308702896184859024e-24 4.090650490691344325e-24
3.595469639950894000e+15 2.035689402555040729e-24 3.756960556084845778e-24
4.133916370273718500e+15 1.789649521593801659e-24 3.443619943415613081e-24
4.752999265111424000e+15 1.568697704880802238e-24 3.150010623480678122e-24
5.464794154182156000e+15 1.371059645130056121e-24 2.875568695796748056e-24
6.283185307179586000e+15 1.195006475556262031e-24 2.619800124625976574e-24
7.224136260310000000e+15 1.038787863162405399e-24 2.382253154328644936e-24
8.306001200997860000e+15 9.005932372119203068e-25 2.162450447577983904e-24
9.549882984629284000e+15 7.785638735309800813e-25 1.959805196002864983e-24
1.098004476680732400e+16 6.708573526199966360e-25 1.773556712925449260e-24
1.262438328041702000e+16 5.757420972468664490e-25 1.602754270779097269e-24
1.451497298924168200e+16 4.916869263610089923e-25 1.446296980387648985e-24
1.668869173238987600e+16 4.174149747554848339e-25 1.303014399315133542e-24
1.918794006335153600e+16 3.519085670549662515e-25 1.171759307845082129e-24
2.206146831511099200e+16 2.943708331725613658e-25 1.051485242223460668e-24
2.536532752404425200e+16 2.441616722347772195e-25 9.412923979835609534e-25
