 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 4.163671016693115 -7.088909149169922 -8.049104690551758 
2 1 3.0 0.105953685939312 6.237304210662842 -1.332148790359497 
3 1 3.0 -10.981611251831055 5.537107467651367 -3.238501071929932 
4 1 3.0 -1.359067440032959 3.178893327713013 -1.386780023574829 
5 1 3.0 5.934738159179688 11.649230003356934 -11.468409538269043 
6 1 3.0 0.052016198635101 -2.413341045379639 10.337516784667969 
7 1 3.0 8.043149948120117 0.122278288006783 -3.347872972488403 
8 1 3.0 -4.110377311706543 -1.195294022560120 -4.661669731140137 
9 1 3.0 -9.726665496826172 10.315159797668457 -1.620999336242676 
10 1 3.0 5.203372001647949 -0.255532383918762 -9.704929351806641 
11 1 3.0 9.685383796691895 2.088572263717651 7.041221618652344 
12 1 3.0 9.107501983642578 -2.830384731292725 4.540441513061523 
13 1 3.0 0.800585329532623 3.382405757904053 9.454463958740234 
14 1 3.0 -6.769276618957520 4.466716289520264 -1.254544615745544 
15 1 3.0 -5.301464080810547 -3.910797834396362 5.418856620788574 
16 1 3.0 2.917315244674683 -9.073965072631836 4.476304054260254 
17 1 3.0 -10.400142669677734 3.647351026535034 5.768771171569824 
18 1 3.0 -9.573095321655273 2.223055839538574 -2.289143085479736 
19 1 3.0 -0.805753886699677 -1.615451574325562 4.963484287261963 
20 1 3.0 -10.173140525817871 -2.566701412200928 8.313899040222168 
21 1 3.0 10.879343032836914 -5.666599750518799 5.222534656524658 
22 1 3.0 -0.007925311103463 -7.208559513092041 -3.438966751098633 
23 1 3.0 -5.777082443237305 -7.150300025939941 7.308354377746582 
24 1 3.0 7.884094715118408 4.777710914611816 9.011420249938965 
25 1 3.0 7.088396549224854 -2.527579545974731 9.325823783874512 
26 1 3.0 -5.626725196838379 6.780935287475586 6.835471153259277 
27 1 3.0 8.101385116577148 -10.805597305297852 2.393746376037598 
28 1 3.0 0.364692777395248 10.294110298156738 6.156084537506104 
29 1 3.0 -3.047477483749390 -11.016057968139648 -4.630841255187988 
30 1 3.0 -6.075383663177490 3.009395599365234 -7.424570560455322 
31 1 3.0 -1.353010177612305 5.148752689361572 -7.462944507598877 
32 1 3.0 -11.621095657348633 6.902115345001221 6.133474349975586 
33 1 3.0 4.589304447174072 6.020927906036377 1.334456801414490 
34 1 3.0 2.057642459869385 3.400694370269775 0.165344849228859 
35 1 3.0 0.409590542316437 -1.573641061782837 -5.470632076263428 
36 1 3.0 -10.501359939575195 -11.355651855468750 10.219129562377930 
37 1 3.0 11.589187622070312 -0.623245716094971 5.549434185028076 
38 1 3.0 -4.697344303131104 1.417358875274658 -1.522288203239441 
39 1 3.0 4.448622226715088 -4.087009906768799 -6.116786956787109 
40 1 3.0 -7.234537601470947 -4.547049045562744 2.401471138000488 
41 1 3.0 -3.356997251510620 -6.947845935821533 -5.231391906738281 
42 1 3.0 3.156224012374878 -10.303250312805176 -9.860634803771973 
43 1 3.0 -8.461065292358398 5.322107315063477 -9.146807670593262 
44 1 3.0 -2.329951286315918 -8.990485191345215 -1.764561176300049 
45 1 3.0 -8.385938644409180 10.748410224914551 7.657435417175293 
46 1 3.0 0.774021208286285 9.364187240600586 9.770404815673828 
47 1 3.0 7.316364288330078 -9.037089347839355 -4.457294464111328 
48 1 3.0 4.939802646636963 -8.921099662780762 8.804220199584961 
49 1 3.0 3.557429552078247 11.526468276977539 -5.775102138519287 
50 1 3.0 -10.699631690979004 -5.676496505737305 2.163838863372803 
51 1 3.0 -5.965637207031250 10.968673706054688 5.175221920013428 
52 1 3.0 -11.022129058837891 -0.577471792697906 -0.940071642398834 
53 1 3.0 -2.024093866348267 0.968229591846466 0.982317268848419 
54 1 3.0 -1.521001100540161 -0.740343689918518 -2.129542350769043 
55 1 3.0 3.652700662612915 -4.187996387481689 9.968871116638184 
56 1 3.0 3.015385627746582 8.264501571655273 -4.117291927337646 
57 1 3.0 6.815728187561035 -5.754573345184326 -10.506672859191895 
58 1 3.0 3.744159936904907 5.409147739410400 -1.841326594352722 
59 1 3.0 3.955754518508911 9.302804946899414 -8.846067428588867 
60 1 3.0 0.505116581916809 5.287021636962891 3.147536516189575 
61 1 3.0 2.446873903274536 0.879385292530060 -7.255550861358643 
62 1 3.0 8.541115760803223 7.580809593200684 -5.988232135772705 
63 1 3.0 -1.797019004821777 -5.584930419921875 -0.309536367654800 
64 1 3.0 -5.084830284118652 -6.599561214447021 0.752674996852875 
65 1 3.0 8.841624259948730 6.083367824554443 -2.724388360977173 
66 1 3.0 0.210792526602745 -3.355832576751709 -8.849801063537598 
67 1 3.0 5.444956302642822 -3.795844316482544 1.865272760391235 
68 1 3.0 9.608401298522949 7.352767467498779 10.901747703552246 
