 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 4.149778842926025 -7.076521396636963 -8.113461494445801 
2 1 3.0 0.105383068323135 6.235307693481445 -1.316914200782776 
3 1 3.0 -10.997479438781738 5.536186695098877 -3.237309217453003 
4 1 3.0 -1.365982651710510 3.182079315185547 -1.366270065307617 
5 1 3.0 5.932898998260498 -11.643964767456055 -11.463885307312012 
6 1 3.0 0.054834850132465 -2.384840965270996 10.282554626464844 
7 1 3.0 8.030939102172852 0.126304030418396 -3.361748218536377 
8 1 3.0 -4.114121437072754 -1.178127884864807 -4.660989284515381 
9 1 3.0 -9.726137161254883 10.310233116149902 -1.618317723274231 
10 1 3.0 5.193891048431396 -0.244824662804604 -9.702560424804688 
11 1 3.0 9.683626174926758 2.085666894912720 7.051543235778809 
12 1 3.0 9.121648788452148 -2.850757360458374 4.516476154327393 
13 1 3.0 0.801903188228607 3.359518289566040 9.497181892395020 
14 1 3.0 -6.780551910400391 4.461178302764893 -1.244718074798584 
15 1 3.0 -5.312645912170410 -3.915372133255005 5.415623664855957 
16 1 3.0 2.925152778625488 -9.081479072570801 4.479953765869141 
17 1 3.0 -10.398770332336426 3.642895698547363 5.767672061920166 
18 1 3.0 -9.584604263305664 2.225757360458374 -2.285046339035034 
19 1 3.0 -0.872159600257874 -1.642323851585388 4.922973632812500 
20 1 3.0 -10.186964035034180 -2.575670480728149 8.321729660034180 
21 1 3.0 10.890717506408691 -5.681905269622803 5.212746620178223 
22 1 3.0 -0.014353273436427 -7.208756923675537 -3.430685520172119 
23 1 3.0 -5.777366161346436 -7.162886142730713 7.302976608276367 
24 1 3.0 7.885879039764404 4.763372898101807 9.009075164794922 
25 1 3.0 7.210394382476807 -2.572646617889404 9.289672851562500 
26 1 3.0 -5.621951580047607 6.762157440185547 6.842356204986572 
27 1 3.0 8.105713844299316 -10.814768791198730 2.389872312545776 
28 1 3.0 0.369664520025253 10.279571533203125 6.162361145019531 
29 1 3.0 -3.050677776336670 -11.016639709472656 -4.628723621368408 
30 1 3.0 -6.091638565063477 3.023676395416260 -7.410800933837891 
31 1 3.0 -1.382054448127747 5.179491996765137 -7.442120552062988 
32 1 3.0 -11.617544174194336 6.899600982666016 6.142038345336914 
33 1 3.0 4.591925621032715 6.006830215454102 1.347171425819397 
34 1 3.0 2.074192047119141 3.395228624343872 0.154870137572289 
35 1 3.0 0.393710434436798 -1.554219245910645 -5.469594478607178 
36 1 3.0 -10.493626594543457 -11.360379219055176 10.218410491943359 
37 1 3.0 11.574633598327637 -0.639660060405731 5.549169063568115 
38 1 3.0 -4.700752258300781 1.420197963714600 -1.505811333656311 
39 1 3.0 4.427747726440430 -4.091104984283447 -6.133556842803955 
40 1 3.0 -7.235823631286621 -4.565804958343506 2.398471355438232 
41 1 3.0 -3.348205327987671 -6.928981304168701 -5.233398437500000 
42 1 3.0 3.154205322265625 -10.286769866943359 -9.866918563842773 
43 1 3.0 -8.465682983398438 5.337445259094238 -9.137306213378906 
44 1 3.0 -2.326306581497192 -8.999773025512695 -1.760621547698975 
45 1 3.0 -8.380673408508301 10.740050315856934 7.652796268463135 
46 1 3.0 0.780941188335419 9.362727165222168 9.777597427368164 
47 1 3.0 7.306734085083008 -9.019874572753906 -4.459335803985596 
48 1 3.0 4.948832511901855 -8.942940711975098 8.801786422729492 
49 1 3.0 3.551797866821289 11.536712646484375 -5.776074409484863 
50 1 3.0 -10.697410583496094 -5.684204101562500 2.155722856521606 
51 1 3.0 -5.957277297973633 10.962724685668945 5.181138038635254 
52 1 3.0 -11.023564338684082 -0.583009004592896 -0.935265421867371 
53 1 3.0 -2.032724618911743 0.967540979385376 1.000214219093323 
54 1 3.0 -1.521125078201294 -0.722430288791656 -2.133458375930786 
55 1 3.0 3.660929918289185 -4.074477672576904 9.912971496582031 
56 1 3.0 3.008192539215088 8.280184745788574 -4.107336044311523 
57 1 3.0 6.818117618560791 -5.740705013275146 -10.519310951232910 
58 1 3.0 3.754085540771484 5.418488979339600 -1.844800829887390 
59 1 3.0 3.955754518508911 9.311239242553711 -8.841026306152344 
60 1 3.0 0.528339803218842 5.290126800537109 3.124178647994995 
61 1 3.0 2.398187398910522 0.957670629024506 -7.215797424316406 
62 1 3.0 8.539161682128906 7.590986251831055 -5.982790946960449 
63 1 3.0 -1.802446365356445 -5.581886768341064 -0.316653698682785 
64 1 3.0 -5.087351799011230 -6.626324653625488 0.754931747913361 
65 1 3.0 8.830883979797363 6.079283714294434 -2.723182916641235 
66 1 3.0 0.204580515623093 -3.349394559860229 -8.841694831848145 
67 1 3.0 5.447963714599609 -3.800822496414185 1.849589586257935 
68 1 3.0 9.612904548645020 7.357766628265381 10.897463798522949 
