 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 3.726293087005615 -6.880587100982666 -7.643669605255127 
2 1 3.0 0.115448832511902 6.180636882781982 -1.440891504287720 
3 1 3.0 -10.989027976989746 5.605531692504883 -3.362524271011353 
4 1 3.0 -1.342694163322449 3.130106687545776 -1.435538411140442 
5 1 3.0 5.889756679534912 -11.583399772644043 -11.512640953063965 
6 1 3.0 0.054755788296461 -2.407034635543823 10.372568130493164 
7 1 3.0 8.117342948913574 0.192990198731422 -3.382171154022217 
8 1 3.0 -4.100775241851807 -1.178084850311279 -4.687720775604248 
9 1 3.0 -9.721513748168945 10.338775634765625 -1.657094359397888 
10 1 3.0 5.300137996673584 -0.255035996437073 -9.563783645629883 
11 1 3.0 9.661834716796875 2.111785411834717 6.956441879272461 
12 1 3.0 9.089087486267090 -2.749440431594849 4.430261611938477 
13 1 3.0 0.859376728534698 3.379522323608398 9.663461685180664 
14 1 3.0 -6.770337104797363 4.522008895874023 -1.368702292442322 
15 1 3.0 -5.380460262298584 -3.795279026031494 5.544569969177246 
16 1 3.0 2.991802692413330 -8.992405891418457 4.454683303833008 
17 1 3.0 -10.286461830139160 3.619894504547119 5.738280296325684 
18 1 3.0 -9.538626670837402 2.295710563659668 -2.385704755783081 
19 1 3.0 -0.707936942577362 -1.431365132331848 5.087930679321289 
20 1 3.0 -10.246751785278320 -2.586445569992065 8.247356414794922 
21 1 3.0 10.855593681335449 -5.645929813385010 5.254370212554932 
22 1 3.0 0.039774432778358 -7.379117965698242 -3.249394893646240 
23 1 3.0 -5.846325874328613 -7.055096626281738 7.426244258880615 
24 1 3.0 7.684701919555664 4.600812435150146 9.119405746459961 
25 1 3.0 7.264897823333740 -2.655951023101807 9.254358291625977 
26 1 3.0 -5.620849609375000 6.604767799377441 7.030998706817627 
27 1 3.0 8.151768684387207 -10.790068626403809 2.389283657073975 
28 1 3.0 0.261754930019379 10.440814971923828 5.661500930786133 
29 1 3.0 -3.004495620727539 -10.995508193969727 -4.386766433715820 
30 1 3.0 -6.062570571899414 2.923199892044067 -7.581427574157715 
31 1 3.0 -1.410194039344788 5.101962089538574 -7.532334327697754 
32 1 3.0 -11.518613815307617 6.864270210266113 6.354741573333740 
33 1 3.0 4.623589992523193 6.148728847503662 1.173110842704773 
34 1 3.0 2.167112588882446 3.476412534713745 -0.072734057903290 
35 1 3.0 0.494617372751236 -1.648018717765808 -5.462196826934814 
36 1 3.0 -10.573701858520508 -11.332406997680664 10.212604522705078 
37 1 3.0 11.582562446594238 -0.593095719814301 5.448190212249756 
38 1 3.0 -4.755345344543457 1.439474821090698 -1.441163182258606 
39 1 3.0 4.760655403137207 -3.910926342010498 -5.990724086761475 
40 1 3.0 -7.231278896331787 -4.648583412170410 2.499599695205688 
41 1 3.0 -3.250998973846436 -6.740923881530762 -4.946166038513184 
42 1 3.0 3.074475526809692 -10.272924423217773 -9.978236198425293 
43 1 3.0 -8.531372070312500 5.360774040222168 -9.134383201599121 
44 1 3.0 -2.288181781768799 -9.089372634887695 -1.467887401580811 
45 1 3.0 -8.414406776428223 10.804135322570801 7.671051502227783 
46 1 3.0 0.623048841953278 9.234402656555176 9.320326805114746 
47 1 3.0 7.344666957855225 -8.997252464294434 -4.434256076812744 
48 1 3.0 4.909421443939209 -8.946137428283691 8.858928680419922 
49 1 3.0 3.632448196411133 11.447847366333008 -5.775377273559570 
50 1 3.0 -10.798322677612305 -5.573876857757568 2.234188079833984 
51 1 3.0 -6.017624855041504 10.179810523986816 5.513342857360840 
52 1 3.0 -10.965533256530762 -0.525575995445251 -0.974552750587463 
53 1 3.0 -2.014059305191040 1.040923833847046 1.033150911331177 
54 1 3.0 -1.493945002555847 -0.673633337020874 -2.151548147201538 
55 1 3.0 3.656711578369141 -4.171855926513672 9.991991043090820 
56 1 3.0 2.886715650558472 8.241986274719238 -4.234465122222900 
57 1 3.0 6.785449981689453 -5.771303176879883 -10.463224411010742 
58 1 3.0 3.818189144134521 5.522458076477051 -1.979510903358459 
59 1 3.0 3.786660671234131 9.415250778198242 -9.024408340454102 
60 1 3.0 0.599608421325684 5.382516860961914 2.788709402084351 
61 1 3.0 2.466439247131348 0.966444313526154 -7.257585048675537 
62 1 3.0 8.524129867553711 7.633981704711914 -6.057834148406982 
63 1 3.0 -1.815184354782104 -5.568918228149414 -0.218498766422272 
64 1 3.0 -4.965289592742920 -6.829556465148926 1.203145265579224 
65 1 3.0 8.798067092895508 6.221903800964355 -2.718553543090820 
66 1 3.0 0.245161786675453 -3.602992773056030 -8.758362770080566 
67 1 3.0 5.416152954101562 -3.731389522552490 1.795787572860718 
68 1 3.0 9.268105506896973 7.256636619567871 11.273081779479980 
