 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 3.732511043548584 -6.860243320465088 -7.668662548065186 
2 1 3.0 0.111274860799313 6.234092712402344 -1.437931895256042 
3 1 3.0 -10.981322288513184 5.589509010314941 -3.356263160705566 
4 1 3.0 -1.328327417373657 3.150910139083862 -1.430215001106262 
5 1 3.0 5.864131927490234 -11.571759223937988 -11.502573966979980 
6 1 3.0 0.076474912464619 -2.378684520721436 10.379410743713379 
7 1 3.0 8.107986450195312 0.204610943794250 -3.369277238845825 
8 1 3.0 -4.100631713867188 -1.178646445274353 -4.693208217620850 
9 1 3.0 -9.721951484680176 10.329524040222168 -1.660158514976501 
10 1 3.0 5.311311244964600 -0.243344098329544 -9.562641143798828 
11 1 3.0 9.638100624084473 2.106886863708496 6.988339900970459 
12 1 3.0 9.093708038330078 -2.756326675415039 4.434234619140625 
13 1 3.0 0.868007361888885 3.401494026184082 9.671727180480957 
14 1 3.0 -6.762768268585205 4.517840862274170 -1.366462349891663 
15 1 3.0 -5.373816490173340 -3.788147449493408 5.553482532501221 
16 1 3.0 2.972200155258179 -8.982426643371582 4.460606575012207 
17 1 3.0 -10.297887802124023 3.621969699859619 5.742178440093994 
18 1 3.0 -9.533386230468750 2.284978389739990 -2.377671718597412 
19 1 3.0 -0.709194481372833 -1.427993297576904 5.086170673370361 
20 1 3.0 -10.250333786010742 -2.580405950546265 8.248472213745117 
21 1 3.0 10.864059448242188 -5.655125141143799 5.258378505706787 
22 1 3.0 0.011174889281392 -7.343461036682129 -3.284102916717529 
23 1 3.0 -5.829749584197998 -7.038030147552490 7.451026916503906 
24 1 3.0 7.689901828765869 4.600860118865967 9.082485198974609 
25 1 3.0 7.290927886962891 -2.679076433181763 9.258891105651855 
26 1 3.0 -5.603004932403564 6.631220340728760 7.040912628173828 
27 1 3.0 8.113892555236816 -10.782104492187500 2.381388425827026 
28 1 3.0 0.251322418451309 10.456398963928223 5.680206298828125 
29 1 3.0 -3.021837472915649 -11.001271247863770 -4.390282630920410 
30 1 3.0 -6.062067508697510 2.908258676528931 -7.580099582672119 
31 1 3.0 -1.405867457389832 5.108432292938232 -7.547953128814697 
32 1 3.0 -11.477375030517578 6.892940998077393 6.354856014251709 
33 1 3.0 4.620337963104248 6.143685340881348 1.198568224906921 
34 1 3.0 2.165846109390259 3.478243112564087 -0.054410625249147 
35 1 3.0 0.497772365808487 -1.626845240592957 -5.437580585479736 
36 1 3.0 -10.584585189819336 -11.327254295349121 10.216100692749023 
37 1 3.0 11.567430496215820 -0.585179448127747 5.457749843597412 
38 1 3.0 -4.750611782073975 1.435753464698792 -1.439632773399353 
39 1 3.0 4.751667976379395 -3.905006170272827 -5.989288806915283 
40 1 3.0 -7.224835872650146 -4.643301010131836 2.504206657409668 
41 1 3.0 -3.256604909896851 -6.799867630004883 -4.976788520812988 
42 1 3.0 3.053814649581909 -10.230154037475586 -9.987440109252930 
43 1 3.0 -8.541629791259766 5.341948032379150 -9.127745628356934 
44 1 3.0 -2.288749694824219 -9.087211608886719 -1.484384894371033 
45 1 3.0 -8.415999412536621 10.820662498474121 7.684679031372070 
46 1 3.0 0.600470721721649 9.254681587219238 9.351677894592285 
47 1 3.0 7.323804855346680 -9.009752273559570 -4.436727046966553 
48 1 3.0 4.889189720153809 -8.938834190368652 8.876238822937012 
49 1 3.0 3.618139982223511 11.478738784790039 -5.790775775909424 
50 1 3.0 -10.794962882995605 -5.573231697082520 2.240210771560669 
51 1 3.0 -6.015179634094238 10.192806243896484 5.511567592620850 
52 1 3.0 -10.971672058105469 -0.521469116210938 -0.956062078475952 
53 1 3.0 -2.015224695205688 1.052354216575623 1.039275765419006 
54 1 3.0 -1.490954279899597 -0.666217207908630 -2.145209789276123 
55 1 3.0 3.677292823791504 -4.125415325164795 9.983024597167969 
56 1 3.0 2.908020734786987 8.286465644836426 -4.233534812927246 
57 1 3.0 6.804688930511475 -5.770922183990479 -10.469869613647461 
58 1 3.0 3.808185815811157 5.546764850616455 -1.968527555465698 
59 1 3.0 3.770366668701172 9.436063766479492 -9.035644531250000 
60 1 3.0 0.593635141849518 5.375606060028076 2.813894510269165 
61 1 3.0 2.457999229431152 0.970777451992035 -7.263372898101807 
62 1 3.0 8.513501167297363 7.627937793731689 -6.059144496917725 
63 1 3.0 -1.806295871734619 -5.575545787811279 -0.219318583607674 
64 1 3.0 -4.959478855133057 -6.826721668243408 1.206375956535339 
65 1 3.0 8.821416854858398 6.207981109619141 -2.720271348953247 
66 1 3.0 0.341078072786331 -3.484408378601074 -8.719104766845703 
67 1 3.0 5.417291641235352 -3.743662118911743 1.798514127731323 
68 1 3.0 9.260902404785156 7.250892162322998 11.264704704284668 
