 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 4.139440059661865 -7.070592880249023 -8.144969940185547 
2 1 3.0 0.090015836060047 6.188159942626953 -1.300585269927979 
3 1 3.0 -10.991702079772949 5.526502609252930 -3.214059114456177 
4 1 3.0 -1.367764353752136 3.157167196273804 -1.372045636177063 
5 1 3.0 5.952885150909424 -11.636048316955566 -11.483133316040039 
6 1 3.0 0.063451580703259 -2.369931697845459 10.241098403930664 
7 1 3.0 8.044170379638672 0.115418955683708 -3.350180864334106 
8 1 3.0 -4.059848785400391 -1.222749590873718 -4.655739307403564 
9 1 3.0 -9.718849182128906 10.306491851806641 -1.591560006141663 
10 1 3.0 5.218618869781494 -0.232626467943192 -9.708777427673340 
11 1 3.0 9.673296928405762 2.099852085113525 7.081542491912842 
12 1 3.0 9.126918792724609 -2.884773492813110 4.548291206359863 
13 1 3.0 0.795558750629425 3.333496332168579 9.492421150207520 
14 1 3.0 -6.762160301208496 4.404107093811035 -1.188225507736206 
15 1 3.0 -5.334057331085205 -3.920184373855591 5.426082611083984 
16 1 3.0 2.891432046890259 -9.075178146362305 4.458600044250488 
17 1 3.0 -10.418320655822754 3.671241283416748 5.803837776184082 
18 1 3.0 -9.582264900207520 2.206740856170654 -2.261270523071289 
19 1 3.0 -0.891402900218964 -1.669215440750122 4.823859214782715 
20 1 3.0 -10.197208404541016 -2.576462745666504 8.340539932250977 
21 1 3.0 10.888491630554199 -5.703810214996338 5.233164787292480 
22 1 3.0 0.065063990652561 -7.275290012359619 -3.401001691818237 
23 1 3.0 -5.782538890838623 -7.160186767578125 7.331982135772705 
24 1 3.0 7.869551181793213 4.781512737274170 9.026561737060547 
25 1 3.0 7.218455314636230 -2.561211824417114 9.286257743835449 
26 1 3.0 -5.627394199371338 6.762059211730957 6.867302417755127 
27 1 3.0 8.093533515930176 -10.828688621520996 2.403120279312134 
28 1 3.0 0.356750309467316 10.282917976379395 6.177761554718018 
29 1 3.0 -3.071411609649658 -11.071544647216797 -4.608158588409424 
30 1 3.0 -6.076591968536377 3.006890773773193 -7.367666244506836 
31 1 3.0 -1.372305035591125 5.175907135009766 -7.438250541687012 
32 1 3.0 -11.630555152893066 6.918431282043457 6.171461582183838 
33 1 3.0 4.582426071166992 5.997491359710693 1.344709753990173 
34 1 3.0 2.098432779312134 3.339247465133667 0.157107397913933 
35 1 3.0 0.389374434947968 -1.581781148910522 -5.481461524963379 
36 1 3.0 -10.484160423278809 -11.361180305480957 10.235975265502930 
37 1 3.0 11.529129981994629 -0.643983364105225 5.595840930938721 
38 1 3.0 -4.621200561523438 1.376749873161316 -1.497303962707520 
39 1 3.0 4.446642398834229 -4.101946830749512 -6.169610500335693 
40 1 3.0 -7.239666938781738 -4.603880405426025 2.442573308944702 
41 1 3.0 -3.222251892089844 -6.907268524169922 -5.249531269073486 
42 1 3.0 3.200711488723755 -10.280968666076660 -9.940819740295410 
43 1 3.0 -8.457418441772461 5.326197624206543 -9.095441818237305 
44 1 3.0 -2.314089775085449 -9.012455940246582 -1.778416991233826 
45 1 3.0 -8.366313934326172 10.740801811218262 7.677493572235107 
46 1 3.0 0.776282548904419 9.370968818664551 9.797513961791992 
47 1 3.0 7.311286926269531 -9.015038490295410 -4.458493709564209 
48 1 3.0 4.907036781311035 -8.924402236938477 8.790559768676758 
49 1 3.0 3.636513948440552 11.484473228454590 -5.724038124084473 
50 1 3.0 -10.710080146789551 -5.679618358612061 2.170689344406128 
51 1 3.0 -5.973412036895752 10.923897743225098 5.185984134674072 
52 1 3.0 -11.006113052368164 -0.607687413692474 -0.904772996902466 
53 1 3.0 -1.944269299507141 0.965383112430573 1.043935537338257 
54 1 3.0 -1.384071826934814 -0.615207016468048 -2.221183300018311 
55 1 3.0 3.646585941314697 -4.050729274749756 9.862398147583008 
56 1 3.0 3.009886503219604 8.239171028137207 -4.098798751831055 
57 1 3.0 6.836668014526367 -5.743729591369629 -10.537939071655273 
58 1 3.0 3.743982076644897 5.395682334899902 -1.837821483612061 
59 1 3.0 3.888567686080933 9.344227790832520 -8.881196022033691 
60 1 3.0 0.525032460689545 5.293454647064209 3.101307392120361 
61 1 3.0 2.418559312820435 0.942533850669861 -7.254193305969238 
62 1 3.0 8.553785324096680 7.579389095306396 -5.982160091400146 
63 1 3.0 -1.735710859298706 -5.551854133605957 -0.451384782791138 
64 1 3.0 -5.031225204467773 -6.511422634124756 0.594131410121918 
65 1 3.0 8.827138900756836 6.068474292755127 -2.715851783752441 
66 1 3.0 0.266925275325775 -3.332559108734131 -8.863301277160645 
67 1 3.0 5.455223560333252 -3.813615322113037 1.840085268020630 
68 1 3.0 9.608341217041016 7.363038539886475 10.916086196899414 
