 CELL_PARAMETERS

1008 atoms
3 atom types

0.0 23.3006801605 xlo xhi
0.0 23.3006801605 ylo yhi
0.0 23.3006801605 zlo zhi
0.0 0.0 0.0 xy xz yz 

Masses

1 180.95000
2 15.99940
3 91.22000

Atoms # charge

1 1 3.0 4.142913341522217 -7.065097808837891 -8.133324623107910 
2 1 3.0 0.096608325839043 6.195024967193604 -1.286211848258972 
3 1 3.0 -10.986808776855469 5.534663677215576 -3.225831508636475 
4 1 3.0 -1.372334957122803 3.163966894149780 -1.375573754310608 
5 1 3.0 5.965364456176758 -11.648022651672363 -11.510449409484863 
6 1 3.0 0.062775902450085 -2.369247198104858 10.243479728698730 
7 1 3.0 8.043981552124023 0.131238132715225 -3.338852167129517 
8 1 3.0 -4.061363220214844 -1.220952987670898 -4.653252124786377 
9 1 3.0 -9.714949607849121 10.310997962951660 -1.588857531547546 
10 1 3.0 5.202797889709473 -0.235864713788033 -9.686686515808105 
11 1 3.0 9.644433021545410 2.132713556289673 7.097517967224121 
12 1 3.0 9.125329017639160 -2.868370294570923 4.542560577392578 
13 1 3.0 0.745867609977722 3.312748908996582 9.503142356872559 
14 1 3.0 -6.760375022888184 4.409106731414795 -1.193489670753479 
15 1 3.0 -5.331017971038818 -3.917556524276733 5.428608417510986 
16 1 3.0 2.904313564300537 -9.087552070617676 4.455685615539551 
17 1 3.0 -10.425379753112793 3.679930448532104 5.803568363189697 
18 1 3.0 -9.579200744628906 2.208911418914795 -2.268509387969971 
19 1 3.0 -0.896858096122742 -1.675669074058533 4.829984188079834 
20 1 3.0 -10.200695037841797 -2.566176176071167 8.333977699279785 
21 1 3.0 10.881093025207520 -5.693935394287109 5.233669281005859 
22 1 3.0 0.065987974405289 -7.263395309448242 -3.406187057495117 
23 1 3.0 -5.784418106079102 -7.157609462738037 7.332582473754883 
24 1 3.0 7.867128849029541 4.762871265411377 9.057198524475098 
25 1 3.0 7.213757991790771 -2.567409992218018 9.297686576843262 
26 1 3.0 -5.634612083435059 6.738709926605225 6.878592491149902 
27 1 3.0 8.116148948669434 -10.812446594238281 2.403474807739258 
28 1 3.0 0.337244451045990 10.285784721374512 6.184911727905273 
29 1 3.0 -3.070501804351807 -11.062582969665527 -4.610666751861572 
30 1 3.0 -6.083731174468994 3.010568380355835 -7.368047237396240 
31 1 3.0 -1.374088287353516 5.177045822143555 -7.423091888427734 
32 1 3.0 11.613317489624023 6.894265651702881 6.195608615875244 
33 1 3.0 4.613523483276367 6.010274410247803 1.473322629928589 
34 1 3.0 2.099202156066895 3.366520404815674 0.146869361400604 
35 1 3.0 0.392828762531281 -1.579005002975464 -5.484589099884033 
36 1 3.0 -10.490957260131836 -11.360740661621094 10.230754852294922 
37 1 3.0 11.519684791564941 -0.619637310504913 5.601368904113770 
38 1 3.0 -4.623809814453125 1.377023577690125 -1.502930521965027 
39 1 3.0 4.450510025024414 -4.092994689941406 -6.159557342529297 
40 1 3.0 -7.227977752685547 -4.604356288909912 2.442178726196289 
41 1 3.0 -3.220346212387085 -6.904983997344971 -5.252296447753906 
42 1 3.0 3.202748298645020 -10.290722846984863 -9.953773498535156 
43 1 3.0 -8.466095924377441 5.337430953979492 -9.084006309509277 
44 1 3.0 -2.306576490402222 -9.004929542541504 -1.780749440193176 
45 1 3.0 -8.383521080017090 10.736802101135254 7.664168357849121 
46 1 3.0 0.832070410251617 9.337667465209961 9.763640403747559 
47 1 3.0 7.312098503112793 -9.017696380615234 -4.453489780426025 
48 1 3.0 4.925266265869141 -8.938085556030273 8.778658866882324 
49 1 3.0 3.631303548812866 11.487373352050781 -5.721253871917725 
50 1 3.0 -10.724845886230469 -5.666389465332031 2.183874368667603 
51 1 3.0 -5.995491504669189 10.919692993164062 5.180551052093506 
52 1 3.0 -10.998773574829102 -0.602690815925598 -0.881020009517670 
53 1 3.0 -1.953129768371582 0.960936367511749 1.032088637351990 
54 1 3.0 -1.382434606552124 -0.613571643829346 -2.225545406341553 
55 1 3.0 3.642719984054565 -4.059474945068359 9.872206687927246 
56 1 3.0 3.006834506988525 8.244944572448730 -4.087433815002441 
57 1 3.0 6.830391883850098 -5.742624759674072 -10.530902862548828 
58 1 3.0 3.771116495132446 5.431788444519043 -1.783155202865601 
59 1 3.0 3.879061698913574 9.350845336914062 -8.892539978027344 
60 1 3.0 0.448023438453674 5.291838645935059 3.072630643844604 
61 1 3.0 2.440486669540405 0.933515310287476 -7.254803657531738 
62 1 3.0 8.550192832946777 7.588025093078613 -5.984837055206299 
63 1 3.0 -1.727191686630249 -5.542896270751953 -0.448940455913544 
64 1 3.0 -5.014837265014648 -6.518513202667236 0.597623229026794 
65 1 3.0 8.835230827331543 6.081110954284668 -2.714799880981445 
66 1 3.0 0.256906986236572 -3.336106300354004 -8.866207122802734 
67 1 3.0 5.449913978576660 -3.785488843917847 1.849474668502808 
68 1 3.0 9.560740470886230 7.363239765167236 10.921411514282227 
