2.432495	4.820522	6.017175	0.940519	0.135958	10.337726	1410468.585524	685841.617790	1770548.000948	0.290785	1375210.741200	670278.671244	1729800.664884	0.290359 
0.445841	4.305941	1.273286	0.227349	3.520543	4.741266	1379590.368609	690640.855946	1775622.648297	0.285489	1366241.158257	686365.678055	1763743.387263	0.284842 
7.090028	1.805235	4.102498	2.584484	2.671783	8.775643	1398198.727423	691550.491191	1781020.041386	0.287701	1402535.471257	684811.042894	1766865.989151	0.290039 
0.455910	1.463371	4.855074	3.988128	0.370661	4.723360	1379397.739468	680976.054598	1754250.783524	0.288041	1378877.660332	686097.692127	1765473.463357	0.286605 
0.696940	2.046577	2.537327	2.256395	1.064302	4.948469	1364225.628749	651525.689125	1686153.206770	0.294004	1373509.881824	681521.647603	1754394.100515	0.287115 
1.524772	0.336740	3.207725	0.777201	0.753797	2.042822	1381782.537615	687549.856566	1769207.711109	0.286603	1345995.402846	668991.604762	1721728.238886	0.286809 
1.737238	3.097641	1.499466	3.039988	0.347513	3.021301	1373753.969013	685023.071030	1762167.350225	0.286210	1401917.130256	691356.692846	1781260.076033	0.288235 
1.621849	12.908743	3.363658	7.481462	7.661470	5.118233	1412071.447652	675753.294679	1748364.002208	0.293641	1400262.837510	646369.358337	1680527.670663	0.299975 
14.640016	0.125147	6.375556	0.772173	4.794223	1.221654	1398550.103891	672039.106039	1737769.715411	0.292908	1396889.715141	662764.508749	1716780.515858	0.295166 
3.494557	1.404254	2.457349	5.076309	1.665999	4.519519	1368666.172091	685161.543721	1761539.322439	0.285492	1372301.476353	687342.950367	1767014.693353	0.285395 
0.468422	4.157130	0.133260	0.253935	1.069022	2.820253	1403233.523279	698758.694808	1797854.306482	0.286463	1398935.308865	694574.083928	1787834.491872	0.287001 
2.129022	6.677786	2.558679	3.903408	4.160343	1.497465	1399632.864313	691961.879216	1782188.089937	0.287779	1403525.179791	694602.273773	1788727.415163	0.287591 
5.245174	4.348486	6.475285	0.856535	2.265624	4.398804	1401641.741843	689653.703922	1777441.306984	0.288648	1397586.695267	686138.258406	1768931.980270	0.289049 
1.363431	7.820697	4.053624	4.543399	4.423760	1.373044	1400317.579103	705641.638111	1812479.457869	0.284278	1410919.902127	700850.232035	1803870.183940	0.286916 
1.307371	4.170365	0.637840	0.093537	1.332654	2.856597	1409703.200765	701917.076040	1806003.763478	0.286479	1411624.398582	702691.318996	1808062.632589	0.286527 
1.788792	1.630380	2.768225	0.047119	1.331592	2.462953	1400390.976198	698141.181579	1795972.925860	0.286253	1400964.640203	697516.913092	1794700.297409	0.286492 
